frame,time(s),nformants,F1(Hz),B1(Hz),F2(Hz),B2(Hz),F3(Hz),B3(Hz),F4(Hz),B4(Hz)
1,0.002769,4,950.804,75.000,1858.906,85.000,2750.000,160.000,3850.000,210.000
2,0.012769,4,950.804,75.000,1858.906,85.000,2750.000,160.000,3850.000,210.000
3,0.022769,4,950.804,75.000,1858.906,85.000,2750.000,160.000,3850.000,210.000
4,0.032769,4,451.528,75.000,1439.662,85.000,2750.000,160.000,3850.000,210.000
5,0.042769,4,502.205,75.000,1377.158,85.000,2750.000,160.000,3850.000,210.000
6,0.052769,4,501.936,75.000,1480.783,85.000,2750.000,160.000,3850.000,210.000
7,0.062769,4,875.246,75.000,1518.502,85.000,2750.000,160.000,3850.000,210.000
8,0.072769,4,951.964,75.000,1497.675,85.000,2750.000,160.000,3850.000,210.000
9,0.082769,4,962.660,75.000,1524.391,85.000,2750.000,160.000,3850.000,210.000
10,0.092769,4,954.562,75.000,1538.043,85.000,2750.000,160.000,3850.000,210.000
11,0.102769,4,929.729,75.000,1516.701,85.000,2750.000,160.000,3850.000,210.000
12,0.112769,4,880.968,75.000,1472.589,85.000,2750.000,160.000,3850.000,210.000
13,0.122769,4,854.617,75.000,1541.353,85.000,2750.000,160.000,3850.000,210.000
14,0.132769,4,939.401,75.000,1472.936,85.000,2750.000,160.000,3850.000,210.000
15,0.142769,4,995.458,75.000,1474.290,85.000,2750.000,160.000,3850.000,210.000
16,0.152769,4,950.101,75.000,1454.694,85.000,2750.000,160.000,3850.000,210.000
17,0.162769,4,951.707,75.000,1490.504,85.000,2750.000,160.000,3850.000,210.000
18,0.172769,4,882.447,75.000,1491.095,85.000,2750.000,160.000,3850.000,210.000
19,0.182769,4,867.627,75.000,1547.446,85.000,2750.000,160.000,3850.000,210.000
20,0.192769,4,822.489,75.000,1414.505,85.000,2750.000,160.000,3850.000,210.000
21,0.202769,4,827.875,75.000,1465.069,85.000,2750.000,160.000,3850.000,210.000
22,0.212769,4,810.216,75.000,1405.769,85.000,2750.000,160.000,3850.000,210.000
23,0.222769,4,837.948,75.000,1434.325,85.000,2750.000,160.000,3850.000,210.000
24,0.232769,4,774.841,75.000,1390.836,85.000,2750.000,160.000,3850.000,210.000
25,0.242769,4,836.265,75.000,1518.717,85.000,2750.000,160.000,3850.000,210.000
26,0.252769,4,833.686,75.000,1405.462,85.000,2750.000,160.000,3850.000,210.000
27,0.262769,4,887.268,75.000,1444.420,85.000,2750.000,160.000,3850.000,210.000
28,0.272769,4,878.116,75.000,1379.159,85.000,2750.000,160.000,3850.000,210.000
29,0.282769,4,862.154,75.000,1460.264,85.000,2750.000,160.000,3850.000,210.000
30,0.292769,4,866.941,75.000,1503.826,85.000,2750.000,160.000,3850.000,210.000
31,0.302769,4,826.874,75.000,1521.461,85.000,2750.000,160.000,3850.000,210.000
32,0.312769,4,984.970,75.000,1532.844,85.000,2750.000,160.000,3850.000,210.000
33,0.322769,4,918.444,75.000,1603.330,85.000,2750.000,160.000,3850.000,210.000
34,0.332769,4,913.852,75.000,1601.149,85.000,2750.000,160.000,3850.000,210.000
35,0.342769,4,956.782,75.000,1588.470,85.000,2750.000,160.000,3850.000,210.000
36,0.352769,4,945.153,75.000,1603.180,85.000,2750.000,160.000,3850.000,210.000
37,0.362769,4,962.462,75.000,1668.453,85.000,2750.000,157.539,3850.000,205.782
38,0.372769,4,842.489,75.000,1735.837,85.000,2750.000,152.618,3850.000,197.345
39,0.382769,4,968.817,75.000,1800.484,85.000,2750.000,147.696,3850.000,188.908
40,0.392769,4,986.769,75.000,1710.588,85.000,2750.000,142.775,3850.000,180.471
41,0.402769,4,894.482,75.000,1640.821,85.000,2750.000,137.853,3850.000,172.034
42,0.412769,4,775.310,75.000,1640.191,85.000,2750.000,132.931,3850.000,163.597
43,0.422769,4,852.180,75.000,1812.413,85.000,2750.000,128.010,3850.000,155.160
44,0.432769,4,911.875,75.000,1894.027,85.000,2750.000,123.088,3850.000,146.723
45,0.442769,4,1068.936,75.000,1736.248,85.000,2750.000,118.167,3850.000,138.286
46,0.452769,4,880.265,75.000,1809.956,85.000,2750.000,113.245,3850.000,129.849
47,0.462769,4,748.194,75.000,1847.437,85.000,2750.000,108.324,3850.000,121.412
48,0.472769,4,850.101,75.000,1862.580,85.000,2750.000,103.402,3850.000,112.975
49,0.482769,4,839.222,75.000,1821.183,85.000,2750.000,98.480,3850.000,104.538
50,0.492769,4,778.467,75.000,1830.595,85.000,2750.000,93.559,3850.000,96.101
