frame,time(s),nformants,F1(Hz),B1(Hz),F2(Hz),B2(Hz),F3(Hz),B3(Hz),F4(Hz),B4(Hz)
1,0.002769,4,477.208,75.000,1450.536,85.000,2750.000,160.000,3850.000,210.000
2,0.012769,4,477.208,75.000,1450.536,85.000,2750.000,160.000,3850.000,210.000
3,0.022769,4,477.208,75.000,1450.536,85.000,2750.000,160.000,3850.000,210.000
4,0.032769,4,413.073,75.000,1432.931,85.000,2750.000,160.000,3850.000,210.000
5,0.042769,4,682.271,75.000,1487.070,85.000,2750.000,160.000,3850.000,210.000
6,0.052769,4,484.668,75.000,1468.639,85.000,2750.000,160.000,3850.000,210.000
7,0.062769,4,729.958,75.000,1230.091,85.000,2750.000,160.000,3850.000,210.000
8,0.072769,4,917.645,75.000,1201.288,85.000,2750.000,160.000,3850.000,210.000
9,0.082769,4,936.119,75.000,1153.251,85.000,2750.000,160.000,3850.000,210.000
10,0.092769,4,927.269,75.000,1296.904,85.000,2750.000,160.000,3850.000,210.000
11,0.102769,4,879.323,75.000,1149.911,85.000,2750.000,160.000,3850.000,210.000
12,0.112769,4,718.498,75.000,1118.698,85.000,2750.000,160.000,3850.000,210.000
13,0.122769,4,624.181,75.000,1214.278,85.000,2750.000,160.000,3850.000,210.000
14,0.132769,4,739.155,75.000,1196.533,85.000,2750.000,160.000,3850.000,210.000
15,0.142769,4,944.917,75.000,1193.085,85.000,2750.000,160.000,3850.000,210.000
16,0.152769,4,884.121,75.000,1153.345,85.000,2750.000,160.000,3850.000,210.000
17,0.162769,4,921.128,75.000,1197.230,85.000,2750.000,160.000,3850.000,210.000
18,0.172769,4,823.947,75.000,1176.235,85.000,2750.000,160.000,3850.000,210.000
19,0.182769,4,826.440,75.000,1162.927,85.000,2750.000,160.000,3850.000,210.000
20,0.192769,4,806.001,75.000,1149.007,85.000,2750.000,160.000,3850.000,210.000
21,0.202769,4,792.174,75.000,1152.718,85.000,2750.000,160.000,3850.000,210.000
22,0.212769,4,764.536,75.000,1155.452,85.000,2750.000,160.000,3850.000,210.000
23,0.222769,4,767.962,75.000,1139.806,85.000,2750.000,160.000,3850.000,210.000
24,0.232769,4,749.489,75.000,1114.799,85.000,2750.000,160.000,3850.000,210.000
25,0.242769,4,794.996,75.000,1171.996,85.000,2750.000,160.000,3850.000,210.000
26,0.252769,4,823.588,75.000,1159.409,85.000,2750.000,160.000,3850.000,210.000
27,0.262769,4,834.023,75.000,1180.882,85.000,2750.000,160.000,3850.000,210.000
28,0.272769,4,841.903,75.000,1151.504,85.000,2750.000,160.000,3850.000,210.000
29,0.282769,4,868.233,75.000,1210.536,85.000,2750.000,160.000,3850.000,210.000
30,0.292769,4,839.964,75.000,1208.212,85.000,2750.000,160.000,3850.000,210.000
31,0.302769,4,797.253,75.000,1214.545,85.000,2750.000,160.000,3850.000,210.000
32,0.312769,4,812.285,75.000,1264.838,85.000,2750.000,160.000,3850.000,210.000
33,0.322769,4,828.349,75.000,1323.748,85.000,2750.000,160.000,3850.000,210.000
34,0.332769,4,854.750,75.000,1366.103,85.000,2750.000,160.000,3850.000,210.000
35,0.342769,4,848.317,75.000,1406.422,85.000,2750.000,160.000,3850.000,210.000
36,0.352769,4,916.857,75.000,1435.799,85.000,2750.000,160.000,3850.000,210.000
37,0.362769,4,933.349,75.000,1476.319,85.000,2750.000,157.539,3850.000,205.782
