frame,time(s),nformants,F1(Hz),B1(Hz),F2(Hz),B2(Hz),F3(Hz),B3(Hz),F4(Hz),B4(Hz)
1,0.002769,4,616.968,75.000,1576.596,85.000,2750.000,160.000,3850.000,210.000
2,0.012769,4,616.968,75.000,1576.596,85.000,2750.000,160.000,3850.000,210.000
3,0.022769,4,616.968,75.000,1576.596,85.000,2750.000,160.000,3850.000,210.000
4,0.032769,4,425.754,75.000,1435.172,85.000,2750.000,160.000,3850.000,210.000
5,0.042769,4,619.392,75.000,1449.637,85.000,2750.000,160.000,3850.000,210.000
6,0.052769,4,490.397,75.000,1472.677,85.000,2750.000,160.000,3850.000,210.000
7,0.062769,4,776.704,75.000,1320.763,85.000,2750.000,160.000,3850.000,210.000
8,0.072769,4,928.995,75.000,1294.272,85.000,2750.000,160.000,3850.000,210.000
9,0.082769,4,944.912,75.000,1267.856,85.000,2750.000,160.000,3850.000,210.000
10,0.092769,4,936.309,75.000,1373.503,85.000,2750.000,160.000,3850.000,210.000
11,0.102769,4,895.928,75.000,1263.262,85.000,2750.000,160.000,3850.000,210.000
12,0.112769,4,770.550,75.000,1228.265,85.000,2750.000,160.000,3850.000,210.000
13,0.122769,4,696.683,75.000,1316.295,85.000,2750.000,160.000,3850.000,210.000
14,0.132769,4,802.758,75.000,1283.586,85.000,2750.000,160.000,3850.000,210.000
15,0.142769,4,961.571,75.000,1281.560,85.000,2750.000,160.000,3850.000,210.000
16,0.152769,4,905.780,75.000,1247.705,85.000,2750.000,160.000,3850.000,210.000
17,0.162769,4,931.249,75.000,1289.287,85.000,2750.000,160.000,3850.000,210.000
18,0.172769,4,843.178,75.000,1274.605,85.000,2750.000,160.000,3850.000,210.000
19,0.182769,4,840.035,75.000,1281.377,85.000,2750.000,160.000,3850.000,210.000
20,0.192769,4,811.475,75.000,1232.739,85.000,2750.000,160.000,3850.000,210.000
21,0.202769,4,803.972,75.000,1250.306,85.000,2750.000,160.000,3850.000,210.000
22,0.212769,4,779.595,75.000,1234.649,85.000,2750.000,160.000,3850.000,210.000
23,0.222769,4,790.898,75.000,1232.131,85.000,2750.000,160.000,3850.000,210.000
24,0.232769,4,757.887,75.000,1201.616,85.000,2750.000,160.000,3850.000,210.000
25,0.242769,4,808.617,75.000,1279.626,85.000,2750.000,160.000,3850.000,210.000
26,0.252769,4,826.946,75.000,1237.329,85.000,2750.000,160.000,3850.000,210.000
27,0.262769,4,851.549,75.000,1264.074,85.000,2750.000,160.000,3850.000,210.000
28,0.272769,4,853.871,75.000,1223.860,85.000,2750.000,160.000,3850.000,210.000
29,0.282769,4,866.204,75.000,1289.625,85.000,2750.000,160.000,3850.000,210.000
30,0.292769,4,848.899,75.000,1300.979,85.000,2750.000,160.000,3850.000,210.000
31,0.302769,4,807.057,75.000,1310.656,85.000,2750.000,160.000,3850.000,210.000
32,0.312769,4,867.551,75.000,1349.484,85.000,2750.000,160.000,3850.000,210.000
