frame,time(s),nformants,F1(Hz),B1(Hz),F2(Hz),B2(Hz),F3(Hz),B3(Hz),F4(Hz),B4(Hz)
1,0.002769,4,351.828,75.000,1333.153,85.000,2750.000,160.000,3850.000,210.000
2,0.012769,4,351.828,75.000,1333.153,85.000,2750.000,160.000,3850.000,210.000
3,0.022769,4,351.828,75.000,1333.153,85.000,2750.000,160.000,3850.000,210.000
4,0.032769,4,400.526,75.000,1430.694,85.000,2750.000,160.000,3850.000,210.000
5,0.042769,4,748.292,75.000,1525.334,85.000,2750.000,160.000,3850.000,210.000
6,0.052769,4,478.966,75.000,1464.610,85.000,2750.000,160.000,3850.000,210.000
7,0.062769,4,684.782,75.000,1144.296,85.000,2750.000,160.000,3850.000,210.000
8,0.072769,4,906.385,75.000,1113.471,85.000,2750.000,160.000,3850.000,210.000
9,0.082769,4,927.378,75.000,1046.505,85.000,2750.000,160.000,3850.000,210.000
10,0.092769,4,918.284,75.000,1223.746,85.000,2750.000,160.000,3850.000,210.000
11,0.102769,4,862.909,75.000,1044.262,85.000,2750.000,160.000,3850.000,210.000
12,0.112769,4,668.393,75.000,1016.411,85.000,2750.000,160.000,3850.000,210.000
13,0.122769,4,555.531,75.000,1118.423,85.000,2750.000,160.000,3850.000,210.000
14,0.132769,4,678.414,75.000,1114.031,85.000,2750.000,160.000,3850.000,210.000
15,0.142769,4,928.452,75.000,1109.312,85.000,2750.000,160.000,3850.000,210.000
16,0.152769,4,862.788,75.000,1064.377,85.000,2750.000,160.000,3850.000,210.000
17,0.162769,4,911.077,75.000,1110.246,85.000,2750.000,160.000,3850.000,210.000
18,0.172769,4,804.979,75.000,1083.672,85.000,2750.000,160.000,3850.000,210.000
19,0.182769,4,812.977,75.000,1052.829,85.000,2750.000,160.000,3850.000,210.000
20,0.192769,4,800.549,75.000,1069.554,85.000,2750.000,160.000,3850.000,210.000
21,0.202769,4,780.476,75.000,1060.887,85.000,2750.000,160.000,3850.000,210.000
22,0.212769,4,749.643,75.000,1080.087,85.000,2750.000,160.000,3850.000,210.000
23,0.222769,4,745.405,75.000,1052.672,85.000,2750.000,160.000,3850.000,210.000
24,0.232769,4,741.143,75.000,1032.623,85.000,2750.000,160.000,3850.000,210.000
25,0.242769,4,781.509,75.000,1071.287,85.000,2750.000,160.000,3850.000,210.000
26,0.252769,4,820.238,75.000,1085.196,85.000,2750.000,160.000,3850.000,210.000
27,0.262769,4,816.715,75.000,1101.875,85.000,2750.000,160.000,3850.000,210.000
28,0.272769,4,830.036,75.000,1082.364,85.000,2750.000,160.000,3850.000,210.000
29,0.282769,4,870.265,75.000,1135.204,85.000,2750.000,160.000,3850.000,210.000
30,0.292769,4,831.086,75.000,1120.576,85.000,2750.000,160.000,3850.000,210.000
31,0.302769,4,787.519,75.000,1123.921,85.000,2750.000,160.000,3850.000,210.000
32,0.312769,4,759.137,75.000,1184.414,85.000,2750.000,160.000,3850.000,210.000
33,0.322769,4,799.558,75.000,1240.055,85.000,2750.000,160.000,3850.000,210.000
34,0.332769,4,835.586,75.000,1294.501,85.000,2750.000,160.000,3850.000,210.000
35,0.342769,4,813.933,75.000,1349.820,85.000,2750.000,160.000,3850.000,210.000
36,0.352769,4,907.547,75.000,1383.446,85.000,2750.000,160.000,3850.000,210.000
37,0.362769,4,923.773,75.000,1416.718,85.000,2750.000,157.539,3850.000,205.782
38,0.372769,4,882.343,75.000,1440.371,85.000,2750.000,152.618,3850.000,197.345
39,0.382769,4,877.394,75.000,1543.533,85.000,2750.000,147.696,3850.000,188.908
40,0.392769,4,841.245,75.000,1609.454,85.000,2750.000,142.775,3850.000,180.471
41,0.402769,4,866.546,75.000,1456.578,85.000,2750.000,137.853,3850.000,172.034
42,0.412769,4,1039.254,75.000,1437.769,85.000,2750.000,132.931,3850.000,163.597
43,0.422769,4,1133.245,75.000,2205.440,85.000,2750.000,128.010,3850.000,155.160
44,0.432769,4,1023.270,75.000,2422.028,85.000,2750.000,123.088,3850.000,146.723
45,0.442769,4,856.653,75.000,1300.785,85.000,2750.000,118.167,3850.000,138.286
46,0.452769,4,870.514,75.000,1597.209,85.000,2750.000,113.245,3850.000,129.849
47,0.462769,4,1036.344,75.000,2248.961,85.000,2750.000,108.324,3850.000,121.412
48,0.472769,4,937.423,75.000,2315.484,85.000,2750.000,103.402,3850.000,112.975
49,0.482769,4,1240.465,75.000,1777.098,85.000,2750.000,98.480,3850.000,104.538
50,0.492769,4,770.957,75.000,1564.654,85.000,2750.000,93.559,3850.000,96.101
51,0.502769,4,1137.661,75.000,2158.592,85.000,2750.000,90.000,3850.000,90.000
52,0.512769,4,931.113,75.000,2037.076,85.000,2750.000,90.000,3850.000,90.000
53,0.522769,4,1116.687,75.000,2151.264,85.000,2750.000,90.000,3850.000,90.000
54,0.532769,4,1077.269,75.000,2078.169,85.000,2750.000,90.000,3850.000,90.000
55,0.542769,4,905.955,75.000,1833.987,85.000,2750.000,90.000,3850.000,90.000
56,0.552769,4,825.480,75.000,1650.365,85.000,2750.000,90.000,3850.000,90.000
57,0.562769,4,800.713,75.000,1771.699,85.000,2750.000,90.000,3850.000,90.000
58,0.572769,4,966.959,75.000,1885.451,85.000,2750.000,90.000,3850.000,90.000
59,0.582769,4,815.494,75.000,1591.225,85.000,2750.000,90.000,3850.000,90.000
60,0.592769,4,729.369,75.000,1930.760,85.000,2750.000,90.000,3850.000,90.000
61,0.602769,4,1147.266,75.000,2119.635,85.000,2750.000,90.000,3850.000,90.000
62,0.612769,4,1345.175,75.000,2353.612,85.000,2750.000,90.000,3850.000,90.000
63,0.622769,4,1168.670,75.000,2112.267,85.000,2750.000,90.000,3850.000,90.000
64,0.632769,4,1104.469,75.000,2165.493,85.000,2750.000,90.000,3850.000,90.000
65,0.642769,4,1199.510,75.000,2402.481,85.000,2750.000,90.000,3850.000,90.000
66,0.652769,4,1043.140,75.000,2021.676,85.000,2750.000,90.000,3850.000,90.000
67,0.662769,4,1086.042,75.000,2070.550,85.000,2750.000,90.000,3850.000,90.000
68,0.672769,4,1416.716,75.000,1905.990,85.000,2750.000,90.000,3850.000,90.000
69,0.682769,4,1435.537,75.000,2145.801,85.000,2750.000,90.000,3850.000,90.000
70,0.692769,4,1433.113,75.000,2344.511,85.000,2750.000,90.000,3850.000,90.000
71,0.702769,4,1433.113,75.000,2344.514,85.000,2750.000,90.000,3850.000,90.000
72,0.712769,4,1433.113,75.000,2344.514,85.000,2750.000,90.000,3850.000,90.000
