frame,time(s),nformants,F1(Hz),B1(Hz),F2(Hz),B2(Hz),F3(Hz),B3(Hz),F4(Hz),B4(Hz)
1,0.002769,4,1152.403,75.000,2017.664,85.000,2750.000,160.000,3850.000,210.000
2,0.012769,4,1152.403,75.000,2017.664,85.000,2750.000,160.000,3850.000,210.000
3,0.022769,4,1152.403,75.000,2017.664,85.000,2750.000,160.000,3850.000,210.000
4,0.032769,4,464.625,75.000,1441.911,85.000,2750.000,160.000,3850.000,210.000
5,0.042769,4,447.516,75.000,1342.061,85.000,2750.000,160.000,3850.000,210.000
6,0.052769,4,507.746,75.000,1484.850,85.000,2750.000,160.000,3850.000,210.000
7,0.062769,4,927.227,75.000,1626.589,85.000,2750.000,160.000,3850.000,210.000
8,0.072769,4,963.586,75.000,1609.219,85.000,2750.000,160.000,3850.000,210.000
9,0.082769,4,971.616,75.000,1668.583,85.000,2750.000,160.000,3850.000,210.000
10,0.092769,4,963.775,75.000,1626.559,85.000,2750.000,160.000,3850.000,210.000
11,0.102769,4,946.931,75.000,1658.977,85.000,2750.000,160.000,3850.000,210.000
12,0.112769,4,939.595,75.000,1609.353,85.000,2750.000,160.000,3850.000,210.000
13,0.122769,4,940.841,75.000,1665.889,85.000,2750.000,160.000,3850.000,210.000
14,0.132769,4,1012.921,75.000,1576.151,85.000,2750.000,160.000,3850.000,210.000
15,0.142769,4,1012.698,75.000,1579.513,85.000,2750.000,160.000,3850.000,210.000
16,0.152769,4,972.780,75.000,1568.540,85.000,2750.000,160.000,3850.000,210.000
17,0.162769,4,962.044,75.000,1600.756,85.000,2750.000,160.000,3850.000,210.000
18,0.172769,4,902.497,75.000,1610.584,85.000,2750.000,160.000,3850.000,210.000
19,0.182769,4,881.628,75.000,1697.562,85.000,2750.000,160.000,3850.000,210.000
20,0.192769,4,828.029,75.000,1513.376,85.000,2750.000,160.000,3850.000,210.000
21,0.202769,4,839.983,75.000,1583.598,85.000,2750.000,160.000,3850.000,210.000
22,0.212769,4,825.785,75.000,1498.393,85.000,2750.000,160.000,3850.000,210.000
23,0.222769,4,862.082,75.000,1545.342,85.000,2750.000,160.000,3850.000,210.000
24,0.232769,4,783.397,75.000,1494.202,85.000,2750.000,160.000,3850.000,210.000
25,0.242769,4,850.298,75.000,1652.003,85.000,2750.000,160.000,3850.000,210.000
26,0.252769,4,837.068,75.000,1496.338,85.000,2750.000,160.000,3850.000,210.000
27,0.262769,4,905.470,75.000,1542.377,85.000,2750.000,160.000,3850.000,210.000
28,0.272769,4,890.396,75.000,1462.631,85.000,2750.000,160.000,3850.000,210.000
29,0.282769,4,860.134,75.000,1552.484,85.000,2750.000,160.000,3850.000,210.000
30,0.292769,4,876.049,75.000,1615.016,85.000,2750.000,160.000,3850.000,210.000
31,0.302769,4,836.890,75.000,1637.394,85.000,2750.000,160.000,3850.000,210.000
32,0.312769,4,1047.414,75.000,1632.361,85.000,2750.000,160.000,3850.000,210.000
33,0.322769,4,949.784,75.000,1707.413,85.000,2750.000,160.000,3850.000,210.000
34,0.332769,4,934.108,75.000,1687.058,85.000,2750.000,160.000,3850.000,210.000
35,0.342769,4,994.823,75.000,1653.609,85.000,2750.000,160.000,3850.000,210.000
36,0.352769,4,954.709,75.000,1662.702,85.000,2750.000,160.000,3850.000,210.000
37,0.362769,4,972.297,75.000,1737.363,85.000,2750.000,157.539,3850.000,205.782
38,0.372769,4,832.699,75.000,1817.905,85.000,2750.000,152.618,3850.000,197.345
39,0.382769,4,992.600,75.000,1870.720,85.000,2750.000,147.696,3850.000,188.908
40,0.392769,4,1025.544,75.000,1736.773,85.000,2750.000,142.775,3850.000,180.471
41,0.402769,4,901.552,75.000,1690.029,85.000,2750.000,137.853,3850.000,172.034
42,0.412769,4,716.427,75.000,1694.622,85.000,2750.000,132.931,3850.000,163.597
43,0.422769,4,789.717,75.000,1725.478,85.000,2750.000,128.010,3850.000,155.160
44,0.432769,4,885.315,75.000,1781.327,85.000,2750.000,123.088,3850.000,146.723
45,0.442769,4,1127.103,75.000,1863.916,85.000,2750.000,118.167,3850.000,138.286
46,0.452769,4,882.713,75.000,1867.180,85.000,2750.000,113.245,3850.000,129.849
47,0.462769,4,684.613,75.000,1758.748,85.000,2750.000,108.324,3850.000,121.412
48,0.472769,4,829.086,75.000,1763.959,85.000,2750.000,103.402,3850.000,112.975
49,0.482769,4,754.154,75.000,1832.368,85.000,2750.000,98.480,3850.000,104.538
50,0.492769,4,780.351,75.000,1903.472,85.000,2750.000,93.559,3850.000,96.101
51,0.502769,4,799.349,75.000,1887.202,85.000,2750.000,90.000,3850.000,90.000
52,0.512769,4,881.999,75.000,1789.490,85.000,2750.000,90.000,3850.000,90.000
53,0.522769,4,828.451,75.000,1758.744,85.000,2750.000,90.000,3850.000,90.000
54,0.532769,4,1472.882,75.000,1897.566,85.000,2750.000,90.000,3850.000,90.000
55,0.542769,4,890.831,75.000,1818.024,85.000,2750.000,90.000,3850.000,90.000
56,0.552769,4,897.120,75.000,1766.803,85.000,2750.000,90.000,3850.000,90.000
57,0.562769,4,955.467,75.000,1774.099,85.000,2750.000,90.000,3850.000,90.000
58,0.572769,4,785.586,75.000,1914.914,85.000,2750.000,90.000,3850.000,90.000
59,0.582769,4,1161.482,75.000,2049.162,85.000,2750.000,90.000,3850.000,90.000
60,0.592769,4,988.177,75.000,1956.853,85.000,2750.000,90.000,3850.000,90.000
61,0.602769,4,1486.771,75.000,1782.446,85.000,2750.000,90.000,3850.000,90.000
62,0.612769,4,740.478,75.000,1797.461,85.000,2750.000,90.000,3850.000,90.000
63,0.622769,4,856.434,75.000,1863.451,85.000,2750.000,90.000,3850.000,90.000
64,0.632769,4,1297.255,75.000,2209.066,85.000,2750.000,90.000,3850.000,90.000
65,0.642769,4,1153.496,75.000,2285.924,85.000,2750.000,90.000,3850.000,90.000
66,0.652769,4,713.128,75.000,1712.614,85.000,2750.000,90.000,3850.000,90.000
67,0.662769,4,949.150,75.000,1887.183,85.000,2750.000,90.000,3850.000,90.000
68,0.672769,4,1204.414,75.000,1867.419,85.000,2750.000,90.000,3850.000,90.000
69,0.682769,4,1331.050,75.000,1624.002,85.000,2750.000,90.000,3850.000,90.000
70,0.692769,4,1343.072,75.000,1542.692,85.000,2750.000,90.000,3850.000,90.000
71,0.702769,4,1343.072,75.000,1542.691,85.000,2750.000,90.000,3850.000,90.000
72,0.712769,4,1343.072,75.000,1542.691,85.000,2750.000,90.000,3850.000,90.000
